Model created!
Starting value iteration ...
Value iteration complete!
99.857945013 120
99.8332964017 120
99.8066804572 120
99.7780982302 120
99.7475508491 120
99.7150395198 120
99.680565526 120
99.6441302285 120
99.6057350657 120
99.5653815535 120
99.5230712848 120
99.4788059301 120
99.4325872369 120
99.3844170298 120
99.3342972104 120
99.2822297574 120
99.2282167265 120
99.1722602498 120
99.1143625364 120
99.0545258722 120
98.9927526192 120
98.9290452163 120
98.8634061784 120
98.7958380969 120
98.7263436393 120
98.6549255491 120
98.5815866457 120
98.5063298245 120
98.4291580564 120
98.3500743881 120
98.2690819417 120
98.1861839145 120
98.1013835793 120
98.0146842838 120
97.9260894509 120
97.8356025779 120
97.7432272373 120
97.6489670759 120
97.5528258148 120
97.4548072495 120
97.3549152497 120
97.253153759 120
97.1495267946 120
97.0440384477 120
96.9366928827 120
96.8274943374 120
96.7164471228 120
96.6035556229 120
96.4888242944 120
96.3722576667 120
96.2538603417 120
96.1336369935 120
96.0115923683 120
95.8877312842 120
95.762058631 120
95.6345793702 120
95.5052985342 120
95.3742212271 120
95.2413526233 120
95.1066979684 120
94.9702625783 120
94.8320518393 120
94.6920712076 120
94.5503262094 120
94.4068224407 120
94.2615655666 120
94.1145613217 120
93.9658155095 120
93.8153340022 120
93.6631227405 120
93.5091877335 120
93.3535350582 120
93.1961708596 120
93.0371013502 120
92.8763328097 120
92.713871585 120
92.5497240897 120
92.3838968043 120
92.2163962751 120
92.0472291149 120
91.8764020021 120
91.7039216807 120
91.5297949598 120
91.3540287137 120
91.1766298814 120
90.9976054663 120
90.8169625359 120
90.6347082217 120
90.4508497187 120
90.2653942856 120
90.0783492435 120
89.8897219769 120
89.6995199324 120
89.5077506188 120
89.3144216068 120
89.1195405288 120
88.9231150784 120
88.7251530099 120
88.5256621388 120
88.3246503405 120
88.1221255506 120
87.9180957644 120
87.7125690368 120
87.5055534815 120
87.2970572712 120
87.0870886369 120
86.8756558679 120
86.6627673111 120
86.4484313711 120
86.2326565094 120
86.0154512444 120
85.7968241511 120
85.5767838605 120
85.3553390593 120
85.1324984899 120
84.9082709497 120
84.6826652906 120
84.4556904194 120
84.2273552964 120
83.9976689361 120
83.7666404061 120
83.5342788268 120
83.3005933717 120
83.0655932662 120
82.8292877876 120
82.591686265 120
82.3527980785 120
82.1126326588 120
81.8711994874 120
81.6285080957 120
81.3845680645 120
81.1393890244 120
80.8929806545 120
80.6453526826 120
80.3965148847 120
80.1464770845 120
79.8952491529 120
79.6428410081 110
79.3892626146 110
79.1345239834 110
78.8786351711 110
78.6216062797 110
78.3634474563 110
78.1041688926 110
77.8437808244 110
77.5822935314 110
77.3197173367 110
77.0560626063 110
76.7913397489 110
76.5255592153 110
76.2587314981 110
75.990867131 110
75.7219766891 110
75.4520707875 110
75.1811600818 110
74.909255267 110
74.6363670774 110
74.3625062863 110
74.0876837051 110
73.8119101834 110
73.5351966083 110
73.2575539039 110
72.9789930311 110
72.699524987 110
72.4191608045 110
72.1379115519 110
71.8557883325 110
71.572802284 110
71.2889645783 110
71.0042864206 110
70.7187790497 110
70.4324537368 110
70.1453217857 110
69.8573945317 110
69.5686833419 110
69.2791996139 110
68.9889547761 110
68.6979602869 110
68.4062276342 110
68.1137683352 110
67.8205939357 110
67.5267160096 110
67.2321461587 110
66.9368960123 110
66.6409772262 110
66.3444014827 110
66.0471804904 110
65.7493259828 110
65.4508497187 110
65.1517634816 110
64.8520790789 110
64.5518083414 110
64.2509631235 100
63.949555302 100
63.6475967759 100
63.345099466 100
63.0420753145 100
62.7385362842 100
62.4344943582 100
62.1299615398 100
61.8249498512 100
61.5194713338 100
61.2135380475 100
60.9071620698 100
60.6003554961 100
60.2931304385 100
59.9854990257 100
59.6774734025 90
59.3690657293 80
59.0602881814 70
58.7511529488 70
58.4416722356 70
58.1318582597 70
57.821723252 70
57.511279456 70
57.2005391276 70
56.8895145342 70
56.5782179546 70
56.2666616782 70
55.9548580047 70
55.6428192437 70
